Date,Year,Open,High,Low,Close,Volume,Adj Close
24-02-2020,2020,55.93333435,57.56666565,54.8133316,55.58599854,227883000,55.58599854
25-02-2020,2020,56.59999847,57.10666656,52.46666718,53.32733154,259357500,53.32733154
26-02-2020,2020,52.16666794,54.22066879,51.74066544,51.91999817,211282500,51.91999817
27-02-2020,2020,48.66666794,49.31800079,44.59999847,45.26666641,364158000,45.26666641
28-02-2020,2020,41.97999954,46.03466797,40.76800156,44.53266525,363343500,44.53266525
02-03-2020,2020,47.4173317,49.57933426,45.77799988,49.57466888,302925000,49.57466888
03-03-2020,2020,53.66666794,53.79866791,47.74066544,49.70066833,386760000,49.70066833
04-03-2020,2020,50.93066788,51.10133362,48.31533432,49.96666718,225735000,49.96666718
05-03-2020,2020,48.25133133,49.71666718,47.87133408,48.30266571,162790500,48.30266571
06-03-2020,2020,46,47.1333313,45.61800003,46.89866638,189943500,46.89866638
09-03-2020,2020,40.35933304,44.20000076,40.33333206,40.53333282,256105500,40.53333282
10-03-2020,2020,43.9620018,44.53333282,40.53333282,43.02199936,233916000,43.02199936
11-03-2020,2020,42.68000031,43.5719986,40.8666687,42.2820015,199837500,42.2820015
12-03-2020,2020,38.72600174,39.6333313,36.41666794,37.36999893,283636500,37.36999893
13-03-2020,2020,39.66666794,40.50466537,33.46666718,36.44133377,339604500,36.44133377
16-03-2020,2020,31.29999924,32.99133301,29.47800064,29.67133331,307342500,29.67133331
17-03-2020,2020,29.33399963,31.45666695,26.39999962,28.68000031,359919000,28.68000031
18-03-2020,2020,25.93333244,26.99066734,23.36733246,24.08133316,356793000,24.08133316
19-03-2020,2020,24.97999954,30.13333321,23.89733315,28.50933266,452932500,28.50933266
20-03-2020,2020,29.21333313,31.79999924,28.38599968,28.50200081,424282500,28.50200081
23-03-2020,2020,28.90666771,29.46666718,27.36666679,28.95266724,246817500,28.95266724
24-03-2020,2020,31.81999969,34.24599838,31.60000038,33.66666794,343428000,33.66666794
25-03-2020,2020,36.34999847,37.1333313,34.07400131,35.95000076,318340500,35.95000076
26-03-2020,2020,36.49266815,37.33333206,34.15000153,35.21066666,260710500,35.21066666
27-03-2020,2020,33.66666794,35.05333328,32.93533325,34.29066849,215661000,34.29066849
